consumer,contributor,consumption,contributor_affiliation,consumer_affiliation
esteve,evshary,1,adlink,tier4
kminoda,mitsudome-r,1,tier4,tier4
kminoda,maxime-clem,1,tier4,tier4
kminoda,xmfcx,1,leodrive,tier4
kminoda,shmpwk,3,tier4,tier4
kminoda,armaganarsln,1,wg-leads,tier4
kminoda,takayuki5168,2,tier4,tier4
kminoda,kenji-miyake,6,tier4,tier4
kminoda,RyuYamamoto,1,tier4,tier4
kminoda,VRichardJP,1,macnica,tier4
kminoda,YamatoAndo,1,tier4,tier4
kminoda,lhakim85,1,,tier4
kminoda,yukkysaito,3,tier4,tier4
kminoda,sykwer,1,tier4,tier4
kminoda,mayacarla2070,1,,tier4
kminoda,ataparlar,1,leodrive,tier4
kminoda,badai-nguyen,1,tier4,tier4
kminoda,aohsato,1,tier4,tier4
kminoda,rej55,1,tier4,tier4
kminoda,JessicaTegner,1,@uber,tier4
kminoda,sayondeep,1,IIT Hyderabad,tier4
kminoda,simon-t4,1,tier4,tier4
kminoda,Shin-kyoto,1,tier4,tier4
kminoda,TUMGEKA,1,TUM,tier4
scepter914,xmfcx,2,leodrive,tier4
scepter914,storrrrrrrrm,1,autocore,tier4
scepter914,plane-li,2,autocore,tier4
scepter914,yukkysaito,1,tier4,tier4
scepter914,mschratter,1,,tier4
scepter914,FranzAlbers,1,@rst-tu-dortmund,tier4
scepter914,cycyc1949,1,jdlogistics,tier4
Denri006,maxime-clem,1,tier4,"University of California, Riverside"
Denri006,kenji-miyake,1,tier4,"University of California, Riverside"
Denri006,NorahXiong,1,autocore,"University of California, Riverside"
Denri006,TakaHoribe,1,tier4,"University of California, Riverside"
armaganarsln,mitsudome-r,2,tier4,wg-leads
armaganarsln,kaspermeck-arm,2,wg-leads,wg-leads
armaganarsln,kaspermeck-arm,2,arm,wg-leads
Sharrrrk,BonoloAWF,1,awf,autocore
Sharrrrk,BonoloAWF,1,awf,maintainers
Sharrrrk,kenji-miyake,1,tier4,autocore
Sharrrrk,kenji-miyake,1,tier4,maintainers
Sharrrrk,drwnz,1,tier4,autocore
Sharrrrk,drwnz,1,tier4,maintainers
Sharrrrk,aohsato,1,tier4,autocore
Sharrrrk,aohsato,1,tier4,maintainers
crazydude123,Sharrrrk,1,autocore,
crazydude123,Sharrrrk,1,maintainers,
crazydude123,kenji-miyake,1,tier4,
crazydude123,Croquembouche,1,wsu,
crazydude123,evshary,1,adlink,
crazydude123,yuasabe,1,tier4,
storrrrrrrrm,maxime-clem,1,tier4,autocore
storrrrrrrrm,isamu-takagi,1,tier4,autocore
storrrrrrrrm,Sharrrrk,1,autocore,autocore
storrrrrrrrm,Sharrrrk,1,maintainers,autocore
storrrrrrrrm,kenji-miyake,1,tier4,autocore
storrrrrrrrm,yukkysaito,1,tier4,autocore
storrrrrrrrm,yukke42,1,tier4,autocore
takayuki5168,xmfcx,1,leodrive,tier4
takayuki5168,kenji-miyake,1,tier4,tier4
takayuki5168,mehmetdogru,1,leodrive,tier4
takayuki5168,satoshi-ota,1,tier4,tier4
takayuki5168,ismetatabay,1,leodrive,tier4
takayuki5168,TakaHoribe,1,tier4,tier4
Mud-B,mitsudome-r,1,tier4,
Mud-B,Sharrrrk,1,autocore,
Mud-B,Sharrrrk,1,maintainers,
Mud-B,kenji-miyake,1,tier4,
ajay1606,mitsudome-r,1,tier4,
ajay1606,kminoda,1,tier4,
ajay1606,Sharrrrk,1,autocore,
ajay1606,Sharrrrk,1,maintainers,
ajay1606,storrrrrrrrm,1,autocore,
ajay1606,YamatoAndo,1,tier4,
ajay1606,nainaigetuide,1,,
ajay1606,hect95,1,University of Birmingham,
amtommy,mitsudome-r,1,tier4,
amtommy,xmfcx,1,leodrive,
amtommy,shmpwk,1,tier4,
amtommy,storrrrrrrrm,1,autocore,
mojomex,shmpwk,1,tier4,tier4
mojomex,akorb,1,Technical University of Munich,tier4
mojomex,paolacanuto,1,,tier4
brkay54,xmfcx,1,leodrive,leodrive
brkay54,takayuki5168,3,tier4,leodrive
brkay54,kenji-miyake,4,tier4,leodrive
brkay54,VRichardJP,1,macnica,leodrive
brkay54,mehmetdogru,2,leodrive,leodrive
brkay54,doganulus,1,Boğaziçi University @bouncmpe,leodrive
brkay54,yukkysaito,2,tier4,leodrive
brkay54,nainaigetuide,1,,leodrive
brkay54,TakaHoribe,3,tier4,leodrive
kenji-miyake,mitsudome-r,1,tier4,tier4
kenji-miyake,kminoda,1,tier4,tier4
kenji-miyake,nabetetsu,1,tier4,tier4
kenji-miyake,lntsh854,1,CRRC,tier4
chris-interplai,Sharrrrk,1,autocore,Interpl.ai
chris-interplai,Sharrrrk,1,maintainers,Interpl.ai
chris-interplai,kenji-miyake,1,tier4,Interpl.ai
brian841102,maxime-clem,2,tier4,itri
brian841102,shmpwk,1,tier4,itri
brian841102,takayuki5168,1,tier4,itri
brian841102,kenji-miyake,1,tier4,itri
brian841102,VRichardJP,1,macnica,itri
08beeqtufail-sudo,TakaHoribe,1,tier4,
anushamandalapu-tomtom,mitsudome-r,1,tier4,TOMTOM
RyuYamamoto,kminoda,1,tier4,tier4
RyuYamamoto,kenji-miyake,1,tier4,tier4
RyuYamamoto,TakaHoribe,1,tier4,tier4
samehmohamed88,xmfcx,1,leodrive,Motional
samehmohamed88,angry-crab,1,tier4,Motional
samehmohamed88,yukkysaito,1,tier4,Motional
raminterpl,mitsudome-r,1,tier4,interplai.ai
raminterpl,BonoloAWF,1,awf,interplai.ai
raminterpl,doganulus,1,Boğaziçi University @bouncmpe,interplai.ai
raminterpl,TakaHoribe,1,tier4,interplai.ai
FabioSpano,Danior2235,1,,
HamburgDave,Igata-ctrl,1,tier4,wg-leads
HamburgDave,Igata-ctrl,1,wg-leads,wg-leads
HamburgDave,evshary,1,adlink,wg-leads
HamburgDave,lexavtanke,1,leodrive,wg-leads
HamburgDave,yuntianyi-chen,1,"University of California, Irvine",wg-leads
VRichardJP,mitsudome-r,2,tier4,macnica
VRichardJP,xmfcx,1,leodrive,macnica
VRichardJP,kminoda,2,tier4,macnica
VRichardJP,takayuki5168,1,tier4,macnica
VRichardJP,kenji-miyake,4,tier4,macnica
VRichardJP,takam5f2,1,tier4,macnica
VRichardJP,doganulus,1,Boğaziçi University @bouncmpe,macnica
VRichardJP,yukkysaito,5,tier4,macnica
VRichardJP,nainaigetuide,1,,macnica
VRichardJP,TakaHoribe,1,tier4,macnica
VRichardJP,taikitanaka3,1,tier4,macnica
VRichardJP,miursh,2,tier4,macnica
mimimidododo,angry-crab,1,tier4,
NorahXiong,mitsudome-r,1,tier4,autocore
NorahXiong,takayuki5168,1,tier4,autocore
NorahXiong,kenji-miyake,1,tier4,autocore
NorahXiong,satoshi-ota,2,tier4,autocore
angry-crab,esteve,1,tier4,tier4
angry-crab,kenji-miyake,1,tier4,tier4
angry-crab,YamatoAndo,2,tier4,tier4
angry-crab,gayar-helm,1,Helm.ai,tier4
mertyavuz41,mitsudome-r,1,tier4,adastec
mertyavuz41,meliketanrikulu,1,leodrive,adastec
mertyavuz41,kminoda,1,tier4,adastec
mertyavuz41,takayuki5168,1,tier4,adastec
mertyavuz41,YamatoAndo,2,tier4,adastec
mertyavuz41,rsasaki0109,1,map4,adastec
mertyavuz41,Tanishq30052002,1,IIT(ISM) Dhanbad,adastec
YamatoAndo,IshitaTakeshi,1,tier4,tier4
YamatoAndo,kminoda,2,tier4,tier4
YamatoAndo,angry-crab,2,tier4,tier4
YamatoAndo,yukkysaito,1,tier4,tier4
YamatoAndo,miursh,1,tier4,tier4
YamatoAndo,kfunaoka,1,tier4,tier4
hatem-darweesh,mitsudome-r,1,tier4,Nagoya University
hatem-darweesh,ralwing,1,Autonomous Systems,Nagoya University
hatem-darweesh,gaokao123,1,,Nagoya University
hatem-darweesh,HyunkiKim0407,1,,Nagoya University
hatem-darweesh,Kim-mins,1,Korea University,Nagoya University
hatem-darweesh,Autostone-c,1,,Nagoya University
hatem-darweesh,yuasabe,1,tier4,Nagoya University
hatem-darweesh,J-xinyu,1,thu,Nagoya University
hatem-darweesh,sayondeep,1,IIT Hyderabad,Nagoya University
hatem-darweesh,liuypcoding,1,,Nagoya University
hatem-darweesh,lsteinosk,1,,Nagoya University
hatem-darweesh,ashishrrs,1,,Nagoya University
hatem-darweesh,HarryMechatron,1,,Nagoya University
plane-li,yukkysaito,1,tier4,autocore
plane-li,aohsato,1,tier4,autocore
plane-li,miursh,1,tier4,autocore
koraykoca,shmpwk,1,tier4,BMW Group
koraykoca,kminoda,1,tier4,BMW Group
koraykoca,brkay54,1,leodrive,BMW Group
koraykoca,kenji-miyake,1,tier4,BMW Group
CagriCatik,mitsudome-r,1,tier4,
CagriCatik,zulfaqar-azmi-t4,1,tier4,
mehmetdogru,mitsudome-r,2,tier4,leodrive
mehmetdogru,maxime-clem,2,tier4,leodrive
mehmetdogru,BonoloAWF,2,awf,leodrive
mehmetdogru,Igata-ctrl,1,tier4,leodrive
mehmetdogru,Igata-ctrl,1,wg-leads,leodrive
mehmetdogru,xmfcx,2,leodrive,leodrive
mehmetdogru,takayuki5168,2,tier4,leodrive
mehmetdogru,brkay54,2,leodrive,leodrive
mehmetdogru,brian841102,1,itri,leodrive
mehmetdogru,VRichardJP,1,macnica,leodrive
mehmetdogru,yukkysaito,1,tier4,leodrive
mehmetdogru,kosuke55,1,tier4,leodrive
mehmetdogru,satoshi-ota,2,tier4,leodrive
mehmetdogru,ahmeddesokyebrahim,4,leodrive,leodrive
mehmetdogru,TakaHoribe,4,tier4,leodrive
mehmetdogru,chishengshih,1,wg-leads,leodrive
mehmetdogru,taikitanaka3,1,tier4,leodrive
mehmetdogru,JToolGD,1,,leodrive
mehmetdogru,villaoningfootball,1,,leodrive
mehmetdogru,kyoichi-sugahara,1,tier4,leodrive
mehmetdogru,BritvaBo,1,,leodrive
TomoyukiaW,taikitanaka3,1,tier4,MACNICA
Zeysthingz,mitsudome-r,1,tier4,leodrive
Zeysthingz,mehmetdogru,1,leodrive,leodrive
Zeysthingz,kaancolak,1,leodrive,leodrive
Zeysthingz,cycyc1949,1,jdlogistics,leodrive
Zeysthingz,yukke42,1,tier4,leodrive
Zeysthingz,miursh,1,tier4,leodrive
Zeysthingz,wep21,1,tier4,leodrive
Zeysthingz,wbq0206,1,jdlogistics,leodrive
Zeysthingz,YoshiRi,1,tier4,leodrive
bariskapaligoz,mitsudome-r,1,tier4,adastec
bariskapaligoz,mertyavuz41,1,adastec,adastec
bariskapaligoz,wangxianggang1997,1,,adastec
bariskapaligoz,miursh,1,tier4,adastec
QZJGeorge,kenji-miyake,1,tier4,awf
QZJGeorge,sisaha9,1,,awf
QZJGeorge,J-xinyu,1,thu,awf
QZJGeorge,lntsh854,1,CRRC,awf
QZJGeorge,jacksilb,1,wg-leads,awf
kielczykowski-rai,maxime-clem,1,tier4,robotec
MichaelShen97,kenji-miyake,1,tier4,
QipiaoZhou,takayuki5168,1,tier4,
QipiaoZhou,aohsato,1,tier4,
jihwankimqd,mitsudome-r,1,tier4,
JordanCrawfordx,mitsudome-r,1,tier4,
JordanCrawfordx,shmpwk,2,tier4,
deansaco,scepter914,1,tier4,
deansaco,takayuki5168,1,tier4,
deansaco,aohsato,1,tier4,
MrOCW,mitsudome-r,1,tier4,
MrOCW,maxime-clem,5,tier4,
MrOCW,shmpwk,2,tier4,
MrOCW,takayuki5168,10,tier4,
MrOCW,brkay54,1,leodrive,
MrOCW,YamatoAndo,1,tier4,
MrOCW,lhakim85,1,,
MrOCW,rsasaki0109,1,map4,
MrOCW,kosuke55,2,tier4,
MrOCW,PaGu3,1,,
MrOCW,satoshi-ota,4,tier4,
MrOCW,zillur-av,1,"University of Nevada, Las Vegas",
MrOCW,hzkkk1997,1,,
MrOCW,okataka123,1,,
MrOCW,yukke42,2,tier4,
MrOCW,miursh,1,tier4,
MrOCW,zulfaqar-azmi-t4,3,tier4,
MrOCW,wep21,1,tier4,
MrOCW,domajstorovic,1,Technical University of Munich,
MrOCW,manato,1,tier4,
MrOCW,kyoichi-sugahara,1,tier4,
MrOCW,wbq0206,1,jdlogistics,
EcotronCorp,mitsudome-r,1,tier4,
EcotronCorp,shmpwk,1,tier4,
EcotronCorp,takayuki5168,3,tier4,
EcotronCorp,gurselturkeri,1,Gaziantep University,
EcotronCorp,satoshi-ota,1,tier4,
EcotronCorp,zulfaqar-azmi-t4,1,tier4,
EcotronCorp,Madhuvd,1,,
knzo25,armaganarsln,1,wg-leads,tier4
nabetetsu,xmfcx,1,leodrive,tier4
nabetetsu,kenji-miyake,1,tier4,tier4
nabetetsu,takam5f2,1,tier4,tier4
NilaySener,hasanzfdn,1,Yildiz Technical University,leodrive
NilaySener,greensky0802,1,jdlogistics,leodrive
gayar-helm,kminoda,1,tier4,Helm.ai
gayar-helm,angry-crab,1,tier4,Helm.ai
twbabyduck,YamatoAndo,1,tier4,
twbabyduck,lhakim85,1,,
twbabyduck,yukkysaito,1,tier4,
twbabyduck,aohsato,1,tier4,
twbabyduck,yukke42,1,tier4,
twbabyduck,YueChuCheng,1,National Taiwan University,
SyahirMuzni,liuXinGangChina,1,autocore,
kasper-helm,maxime-clem,1,tier4,Helm.ai
kasper-helm,kminoda,1,tier4,Helm.ai
kasper-helm,whbcumtb,1,jdlogistics,Helm.ai
kasper-helm,cycyc1949,1,jdlogistics,Helm.ai
kasper-helm,mgarnett21,1,,Helm.ai
youxiho1,WJaworskiRobotec,1,wg-leads,Nankai University
youxiho1,WJaworskiRobotec,1,robotec,Nankai University
youxiho1,kosuke55,1,tier4,Nankai University
youxiho1,whbcumtb,1,jdlogistics,Nankai University
youxiho1,YoshinoriTsutake,1,tier4,Nankai University
kaspermeck-arm,mitsudome-r,2,tier4,wg-leads
kaspermeck-arm,mitsudome-r,2,tier4,arm
kaspermeck-arm,maxime-clem,1,tier4,wg-leads
kaspermeck-arm,maxime-clem,1,tier4,arm
kaspermeck-arm,isamu-takagi,2,tier4,wg-leads
kaspermeck-arm,isamu-takagi,2,tier4,arm
kaspermeck-arm,BonoloAWF,1,awf,wg-leads
kaspermeck-arm,BonoloAWF,1,awf,arm
kaspermeck-arm,xmfcx,2,leodrive,wg-leads
kaspermeck-arm,xmfcx,2,leodrive,arm
kaspermeck-arm,ambroise-arm,3,arm,wg-leads
kaspermeck-arm,ambroise-arm,3,arm,arm
kaspermeck-arm,esteve,2,tier4,wg-leads
kaspermeck-arm,esteve,2,tier4,arm
kaspermeck-arm,Sharrrrk,1,autocore,wg-leads
kaspermeck-arm,Sharrrrk,1,autocore,arm
kaspermeck-arm,Sharrrrk,1,maintainers,wg-leads
kaspermeck-arm,Sharrrrk,1,maintainers,arm
kaspermeck-arm,kenji-miyake,4,tier4,wg-leads
kaspermeck-arm,kenji-miyake,4,tier4,arm
kaspermeck-arm,raminterpl,1,interplai.ai,wg-leads
kaspermeck-arm,raminterpl,1,interplai.ai,arm
kaspermeck-arm,HamburgDave,1,wg-leads,wg-leads
kaspermeck-arm,HamburgDave,1,wg-leads,arm
kaspermeck-arm,VRichardJP,1,macnica,wg-leads
kaspermeck-arm,VRichardJP,1,macnica,arm
kaspermeck-arm,angry-crab,1,tier4,wg-leads
kaspermeck-arm,angry-crab,1,tier4,arm
kaspermeck-arm,doganulus,5,Boğaziçi University @bouncmpe,wg-leads
kaspermeck-arm,doganulus,5,Boğaziçi University @bouncmpe,arm
kaspermeck-arm,oguzkaganozt,1,wg-leads,wg-leads
kaspermeck-arm,oguzkaganozt,1,wg-leads,arm
kaspermeck-arm,oguzkaganozt,1,leodrive,wg-leads
kaspermeck-arm,oguzkaganozt,1,leodrive,arm
kaspermeck-arm,yuntianyi-chen,1,"University of California, Irvine",wg-leads
kaspermeck-arm,yuntianyi-chen,1,"University of California, Irvine",arm
Gian-Alessio,takayuki5168,1,tier4,
HuaweiAlgolux,maxime-clem,1,tier4,Huawei
HuaweiAlgolux,WJaworskiRobotec,1,wg-leads,Huawei
HuaweiAlgolux,WJaworskiRobotec,1,robotec,Huawei
HuaweiAlgolux,takayuki5168,1,tier4,Huawei
HuaweiAlgolux,cyn-liu,1,autocore,Huawei
takeshi-iwanari,Autostone-c,1,,tier4
Croquembouche,xmfcx,1,leodrive,wsu
Croquembouche,hatem-darweesh,1,Nagoya University,wsu
Croquembouche,sahapratik5656,1,,wsu
kenichirohatayama,kenji-miyake,1,tier4,tier4
tninja1,shmpwk,1,tier4,
jiangguoding,angry-crab,1,tier4,
jiangguoding,HuaweiAlgolux,1,Huawei,
shulanbushangshu,mitsudome-r,1,tier4,autocore
shulanbushangshu,xmfcx,1,leodrive,autocore
shulanbushangshu,shmpwk,1,tier4,autocore
shulanbushangshu,takayuki5168,1,tier4,autocore
shulanbushangshu,satoshi-ota,1,tier4,autocore
shulanbushangshu,zulfaqar-azmi-t4,1,tier4,autocore
sisaha9,maxime-clem,1,tier4,
sisaha9,rsasaki0109,2,map4,
sisaha9,kosuke55,1,tier4,
lhakim85,kenji-miyake,1,tier4,
lhakim85,YamatoAndo,1,tier4,
lhakim85,TZECHIN6,1,,
lhakim85,beginningfan,1,autocore,
lhakim85,liuXinGangChina,1,autocore,
tkm2261,angry-crab,1,tier4,UC Irvine
Torreskai0722,lhakim85,1,,wsu
bdcong,ralwing,1,Autonomous Systems,
fightingnoble,maxime-clem,1,tier4,Peking University
ralwing,takayuki5168,1,tier4,Autonomous Systems
lilyrosecarnation,takayuki5168,1,tier4,
lilyrosecarnation,tkhmy,1,tier4,
AminoACID123,mitsudome-r,1,tier4,
akorb,isamu-takagi,1,tier4,Technical University of Munich
gaokao123,kenji-miyake,1,tier4,
gaokao123,satoshi-ota,1,tier4,
gaokao123,urayuto,1,tier4,
osholsonel20,takayuki5168,1,tier4,OSHCORP - Advanced Products
osholsonel20,YamatoAndo,1,tier4,OSHCORP - Advanced Products
osholsonel20,hatem-darweesh,1,Nagoya University,OSHCORP - Advanced Products
osholsonel20,TakaHoribe,2,tier4,OSHCORP - Advanced Products
evshary,maxime-clem,1,tier4,adlink
evshary,isamu-takagi,1,tier4,adlink
evshary,xmfcx,1,leodrive,adlink
evshary,shmpwk,1,tier4,adlink
evshary,takayuki5168,2,tier4,adlink
evshary,VRichardJP,1,macnica,adlink
evshary,marcusvinicius178,1,,adlink
evshary,zeidk,1,National Institute of Standards and Technology,adlink
evshary,liuypcoding,1,,adlink
pjj707278870,takayuki5168,1,tier4,
pjj707278870,hatem-darweesh,2,Nagoya University,
enesadastec,mitsudome-r,1,tier4,adastec
enesadastec,meliketanrikulu,1,leodrive,adastec
