issues_title,issues_created_at,issues_thread_id,issues_thread_creator,issues_thread_creator_affiliation,issues_comment_id,issues_comment_type,issues_comment_text,issues_comment_author,issues_comment_author_affiliation,issues_time_to_close,issues_time_to_first_response,issues_no_of_comments,issues_commits,issues_checks,issues_files_changed,issues_lines_changed
More complete demo install instructions,2015-12-24T10:32:43Z,122718514,ghost,missing,167087356,answered,"Thanks for suggestion. I have merged your change partially.
",syohex,missing,600951,600951,1,1,0,1,23
Fix wf simulator,2015-12-17T10:03:45Z,122701719,h-ohta,tier4,,,,,missing,,,0,3,0,2,173
Fix visualization for simulation mode,2015-12-17T10:03:33Z,122701686,TomohitoAndo,tier4,,,,,missing,,,0,1,0,1,10
Develop multi lane,2015-12-17T08:08:01Z,122683839,h-ohta,tier4,,,,,missing,,,0,17,0,21,3565
Communicate by key value data format,2015-12-17T07:51:59Z,122681659,syouji,missing,,,,,missing,,,0,2,0,4,217
Synchronize button view with vehicle information,2015-12-17T07:35:24Z,122679610,syouji,missing,,,,,missing,,,0,1,0,3,198
Define meter color,2015-12-17T07:04:35Z,122675086,syouji,missing,,,,,missing,,,0,1,0,4,68
Develop velocity set,2015-12-17T06:03:31Z,122667361,TomohitoAndo,tier4,,,,,missing,,,0,7,0,4,747
Accelerate euclidean cluster,2015-12-11T04:06:12Z,121633648,h-ohta,tier4,,,,,missing,,,0,3,0,3,105
"Runtime Manager, add Autoware logo, update Icon",2015-12-10T09:56:27Z,121445769,kondoh2,missing,,,,,missing,,,0,1,0,6,28
Fix get closest waypoint,2015-12-09T10:06:36Z,121201128,h-ohta,tier4,,,,,missing,,,0,2,0,1,24
ndt_matching supports setup tab.,2015-12-08T15:45:27Z,121034792,kitsukawa,map4,,,,,missing,,,0,1,0,3,50
Velocity set dev,2015-12-08T06:33:29Z,120943196,TomohitoAndo,tier4,,,,,missing,,,0,3,0,4,94
"Runtime Manager Setup tab, fix about Vehicle Model path",2015-12-08T05:27:03Z,120933830,kondoh2,missing,,,,,missing,,,0,1,0,3,10
"Runtime Manager Setup tab, fix PCD Binarizer path",2015-12-08T05:13:08Z,120912288,kondoh2,missing,162768705,questioned,"コミットメッセージが間違っていました。
本対応は Setupタブ Vehicle Model path についての修正で、
Mapタブ PCD Binarizer の設定とは関係ありません。
",kondoh2,missing,7,12072,1,1,0,1,3
"Runtime Manager Setup tab, add Setup tab",2015-12-07T03:58:53Z,120693536,kondoh2,missing,,,,,missing,,,0,1,0,4,270
Ndt matching mod tf tree,2015-12-04T10:26:21Z,120373479,kitsukawa,map4,,,,,missing,,,0,4,0,3,96
"Runtime Manger Computing tab, add sched policy GUI",2015-12-04T09:29:48Z,120363693,kondoh2,missing,161919060,answered,"**NOTE: rootで Runtime Managerを起動しないと機能しません**

@kondoh2 対応有難うございました.
",syohex,missing,24,148,1,1,0,2,44
Stop publishing messages of lane namespace,2015-12-04T05:12:06Z,120334599,syouji,missing,,,,,missing,,,0,1,0,2,112
"Put vehicle model(default.dae, prius.dae) under ros/src/.config/model",2015-12-03T15:33:49Z,120197781,kitsukawa,map4,,,,,missing,,,0,1,0,7,22705
"Runtime Manager, update get_top() call to built-in next() call",2015-12-03T09:25:54Z,120125857,kondoh2,missing,,,,,missing,,,0,1,0,1,39
Bug fix for the probrem about range of circle,2015-12-02T10:55:14Z,119916745,h-ohta,tier4,,,,,missing,,,0,1,0,1,21
Fix invalid pointer access issue,2015-12-02T09:53:06Z,119905813,TomohitoAndo,tier4,,,,,missing,,,0,1,0,1,10
"Runtime Manager Computing tab, update sys app link design",2015-12-02T07:04:51Z,119881602,kondoh2,missing,,,,,missing,,,0,1,0,1,8
"Runtime Manager Map tab, add pcd tools",2015-12-02T06:42:58Z,119878191,kondoh2,missing,,,,,missing,,,0,2,0,4,150
Move initialization of points_nr,2015-11-30T16:28:58Z,119527820,syouji,missing,,,,,missing,,,0,1,0,1,3
Add map_tools.,2015-11-27T14:19:52Z,119203391,kitsukawa,map4,,,,,missing,,,0,1,0,4,140
Replace Prius Model.,2015-11-26T12:48:25Z,119038413,kitsukawa,map4,,,,,missing,,,0,1,0,2,12448
Some Fix for libwaypointfollower,2015-11-25T12:31:37Z,118826913,h-ohta,tier4,,,,,missing,,,0,4,0,2,156
Filter lateral acceleration ,2015-11-19T13:15:32Z,117811587,h-ohta,tier4,,,,,missing,,,0,5,0,7,75
Add yaw data in lane waypoints,2015-11-19T12:57:55Z,117808030,h-ohta,tier4,158050139,questioned,"@syouji 
waypoint_saverとwaypoint_loaderについて、yawデータを含む形式のcsvファイルを扱えるように修正しました。
lane_navi、waypoint_clickerの変更と合わせてご確認頂き、問題が無いようであればマージをお願いできますでしょうか。
",h-ohta,tier4,2412654,171,3,10,0,8,200
Add yaw data in lane waypoints,2015-12-17T10:31:42Z,117808030,h-ohta,tier4,165412820,questioned,"@syouji 
コンフリクトと種々の調整を行いました。
そちらの変更と合わせてご確認頂き、問題なければマージおねがいします。
",h-ohta,tier4,2412654,171,3,10,0,8,200
Add yaw data in lane waypoints,2015-12-17T11:05:24Z,117808030,h-ohta,tier4,165423793,answered,"@h-ohta

> コンフリクトと種々の調整を行いました。
> そちらの変更と合わせてご確認頂き、問題なければマージおねがいします。

コンフリクトの解決ありがとうございます。
問題ないと思います。

lane_navi、waypoint_clicker の yaw角対応を追加いたしました。
- lane_navi の変更点
  - Androidタブレットから受信した経路データから yaw角を計算し、その値を CSVファイルへ保存
  - yaw角から orientation を計算し、LaneArrayメッセージへ格納
- waypoint_clicker
  - クリックした点と対応するベクタ地図のウェイポイントからyaw角を計算し、ファイルへ保存
",syouji,missing,2412654,171,3,10,0,8,200
Mod vscan,2015-11-19T08:29:10Z,117764958,manato,tier4,157988009,questioned,"Please notify my if you have issue about this PR
",manato,tier4,67,171,1,2,0,2,91
Fix package name which has velodyne launch files,2015-11-19T06:17:44Z,117748963,h-ohta,tier4,,,,,missing,,,0,1,0,1,8
Klt improvements,2015-11-19T03:02:00Z,117730156,amc-nu,tier4,157934218,questioned,"Could you check it Yosh-san? @syohex 
If it's ok, could you please merge it into master?
Thanks
",amc-nu,tier4,2552,395,1,15,0,3,47
Update velodyne subtree,2015-11-19T05:42:58Z,117501975,syohex,missing,157958365,questioned,"Please report me if you have issue about this PR.
",syohex,missing,96413,96434,1,2,0,5,5
"Runtime Manager Map tab, fix pcd load OK msg at filed",2015-11-17T10:09:46Z,117322165,kondoh2,missing,,,,,missing,,,0,1,0,1,6
Always check return value from CUDA API,2015-11-16T10:53:03Z,117097865,syohex,missing,,,,,missing,,,0,1,0,5,275
Don't use older option name,2015-11-16T07:18:46Z,117067093,syohex,missing,,,,,missing,,,0,1,0,1,2
Correct kenyn fix,2015-11-16T07:11:00Z,117066443,syohex,missing,,,,,missing,,,0,3,0,1,21
Need one more convStream element,2015-11-16T05:55:03Z,117055936,KenYN,missing,156923879,answered,"Looks good.
",syohex,missing,791,455,2,1,0,1,2
Need one more convStream element,2015-11-16T06:01:57Z,117055936,KenYN,missing,156924519,answered,"BTW There are many magic number in GPU code. They are hard to read and understand and may causes bug like this issue.
",syohex,missing,791,455,2,1,0,1,2
[WIP] CUDA api error check and correct invalid API calling,2015-11-13T08:06:35Z,116701331,syohex,missing,156358237,questioned,"There are some memory leaks. Log of `cuda-memcheck` is here.

https://gist.github.com/syohex/ec06cc13aab79366c8ed
",syohex,missing,266621,10658,1,4,0,5,286
"Runtime Manager, fix bottom area height",2015-11-13T04:36:54Z,116698555,kondoh2,missing,,,,,missing,,,0,1,0,1,2
Update how to get Autoware,2015-11-13T01:42:50Z,116681523,syohex,missing,,,,,missing,,,0,1,0,1,2
bug fix,2015-11-12T11:37:42Z,116532640,h-ohta,tier4,,,,,missing,,,0,1,0,1,6
Develop motion planner,2015-11-12T11:27:18Z,116531319,h-ohta,tier4,,,,,missing,,,0,9,0,4,248
"Runtime Manager Computing tab, fix remain link at item hide",2015-11-12T09:51:12Z,116514846,kondoh2,missing,,,,,missing,,,0,1,0,1,2
"Runtime Manager Computing tab, fix cmd_param drop",2015-11-12T08:50:14Z,116504417,kondoh2,missing,,,,,missing,,,0,1,0,1,8
Develop velocity set,2015-11-12T08:47:07Z,116504030,TomohitoAndo,tier4,,,,,missing,,,0,2,0,1,59
Add periodic transmission,2015-11-11T07:52:06Z,116284410,syouji,missing,,,,,missing,,,0,3,0,2,83
Improve tablet_receiver,2015-11-11T05:02:44Z,116266423,syouji,missing,,,,,missing,,,0,3,0,1,43
Add current pose to temporal waypoints,2015-11-10T10:36:39Z,116080343,TomohitoAndo,tier4,,,,,missing,,,0,1,0,1,10
made more stable,2015-11-10T09:52:53Z,116072776,h-ohta,tier4,,,,,missing,,,0,1,0,2,24
Fix waypoint follower,2015-11-10T08:19:39Z,116059615,h-ohta,tier4,,,,,missing,,,0,5,0,3,340
KLT based Multi Tracking,2015-11-11T01:31:56Z,116032861,amc-nu,tier4,155625823,questioned,"Yes, please. Thanks!
",amc-nu,tier4,78295,70872,5,8,0,11,983
KLT based Multi Tracking,2015-11-11T02:13:33Z,116032861,amc-nu,tier4,155632552,answered,"Done rebase and squash.
",syohex,missing,78295,70872,5,8,0,11,983
KLT based Multi Tracking,2015-11-11T02:24:28Z,116032861,amc-nu,tier4,155635820,questioned,"どうもありがとうございます
",amc-nu,tier4,78295,70872,5,8,0,11,983
KLT based Multi Tracking,2015-11-11T03:00:47Z,116032861,amc-nu,tier4,155644335,answered,"I have confirmed build is successful on both ROS indigo and ROS jade. Please merge if you have no problems.
",syohex,missing,78295,70872,5,8,0,11,983
KLT based Multi Tracking,2015-11-11T03:35:28Z,116032861,amc-nu,tier4,155652500,questioned,"Thank you Yosh
",amc-nu,tier4,78295,70872,5,8,0,11,983
Show message box when calibration_path is none.,2015-11-10T03:07:37Z,116015904,kuriking,missing,,,,,missing,,,0,1,0,1,3
Integrate velodyne,2015-11-09T07:21:50Z,115818949,syohex,missing,,,,,missing,,,0,6,0,101,10797
Fix off-by-one error,2015-11-06T08:27:55Z,115458872,KenYN,missing,154343156,answered,"Thanks for PR.

@manato Could you review this patch.
",syohex,missing,35151769,260,3,1,0,1,4
Fix off-by-one error,2016-01-14T04:53:09Z,115458872,KenYN,missing,171529421,answered,"@manato Could you review this patch?
",shinpei0208,tier4,35151769,260,3,1,0,1,4
Fix off-by-one error,2016-01-14T09:10:11Z,115458872,KenYN,missing,171580632,answered,"I'm sorry for my late reply. I overlooked that I assigned this conversation.
I reviewed this PR briefly and I feel there seems to be no problem.
Thank you very much for pointing out this error! > @KenYN 
",manato,tier4,35151769,260,3,1,0,1,4
Remove extra level of indirection from cuMemFreeHost,2015-11-06T08:24:47Z,115457661,KenYN,missing,154342704,answered,"Thanks for PR :+1: 

> (BTW, use of CUDA_CHECK would have detected this issue earlier.)

Could you add return value check(`CUDA_CHECK`) to each `cuMemFreeHost` for avoiding regression ?

@manato Could you review this patch ?
",syohex,missing,860388,773,4,2,0,1,21
Remove extra level of indirection from cuMemFreeHost,2015-11-06T08:32:13Z,115457661,KenYN,missing,154344013,questioned,"OK, done! Today is ノー残業デー so I must fly...
",KenYN,missing,860388,773,4,2,0,1,21
Remove extra level of indirection from cuMemFreeHost,2015-11-06T09:12:09Z,115457661,KenYN,missing,154351184,answered,"@KenYN , @syohex ,

Thank you very much for pointing out.
Except typo @syohex found, I think this PR has no problem.
",manato,tier4,860388,773,4,2,0,1,21
Remove extra level of indirection from cuMemFreeHost,2015-11-16T07:12:18Z,115457661,KenYN,missing,156943678,answered,"@KenYN I have merged your changes at #131. And fix your small mistakes. Thanks for PR.
",syohex,missing,860388,773,4,2,0,1,21
Show waypoint guide,2015-11-04T10:14:05Z,115018793,syouji,missing,,,,,missing,,,0,3,0,3,395
Develop planner,2015-11-02T08:34:41Z,114548368,h-ohta,tier4,,,,,missing,,,0,92,0,32,2784
Update ndt matching config,2015-11-02T07:55:57Z,114544075,kondoh2,missing,,,,,missing,,,0,2,0,2,15
Refactoring CMakeLists.txt,2015-10-30T10:54:23Z,114247573,syohex,missing,,,,,missing,,,0,1,0,6,39
Improve cmake CUDA configuration,2015-10-30T09:48:53Z,114235048,syohex,missing,,,,,missing,,,0,1,0,2,14
Fix include path and linked library setting issue on Ubuntu 15.04,2015-10-30T09:00:54Z,114227796,syohex,missing,,,,,missing,,,0,1,0,2,52
Cpu prio,2015-10-30T03:51:06Z,114194666,kondoh2,missing,,,,,missing,,,0,2,0,2,204
Add number of zeros behind parameter,2015-10-29T07:18:54Z,113994425,syouji,missing,,,,,missing,,,0,3,0,6,38
Remove needless dependencies,2015-10-29T05:01:29Z,113980220,syohex,missing,,,,,missing,,,0,1,0,1,2
Modified scan2image & calibration_test for calibration_publisher node,2015-10-29T10:52:58Z,113853268,yukkysaito,tier4,152145749,questioned,"本コードは、私がフルスクラッチしたものですが、ROSのチュートリアルのファイル（https://raw.githubusercontent.com/ros/ros_tutorials/hydro-devel/roscpp_tutorials/listener/listener.cpp ）を複製してファイルを生成してコードを記述していったためライセンスが残っておりました。
このような場合、どのようにしたほうがよろしいでしょうか？実際ベースにした範囲はmain関数の定義ぐらいです。
",yukkysaito,tier4,1599418,68511,5,8,0,8,550
Modified scan2image & calibration_test for calibration_publisher node,2015-10-29T13:04:27Z,113853268,yukkysaito,tier4,152173872,answered,"@yukkysaito それであれば書き換えても問題ないと思うのですが, できましたらその旨をコミットログに書いていただけないでしょうか. 今後からで良いので.

#### 例

```
Correct copyright license

Because all of this code is written by me.
```

全員(弊社含む)に言えるのかもしれないですが, コミットログはより具体的に書いていただけるとよいと思います(コードを変更したとかは見ればわかるので, 特に書く必要はない). バグを直した場合は, こういう場合にバグが発生したので直したとか具体的に書いてあると後からログを見た時にどういう修正をしたかが理解しやすくなります.

例えば  96c3b77ea3bfb83b5bdeb16882b104ffedde22f3 の場合,  `fixed bug of init`とありますが, これだけでは意味を把握することが難しいです.  私自身理解できていないので間違っているかもしれないですが, zero clearしていないので○○な問題が発生していたとか, 最後に `max_y`, `min_y`を `NO_DATA`にリセットしていなかったため xxな問題が起きていた等も記述していただけるとよいかと思います. (後から見た時に同じ問題に気をつけないともなります).

githubを利用しているので issueを立てそこに具体的な問題を書き, `Fix issue #xx`のように書くのでもよいかと思います. (この場合でも具体的にコミットログを書くに越したことはないですが)
",syohex,missing,1599418,68511,5,8,0,8,550
Modified scan2image & calibration_test for calibration_publisher node,2015-10-30T06:24:17Z,113853268,yukkysaito,tier4,152441591,questioned,"承知いたしました。アドバイスありがとうございます。

i, count のstaticに関して 407a7a8 にて修正いたしました。
",yukkysaito,tier4,1599418,68511,5,8,0,8,550
Modified scan2image & calibration_test for calibration_publisher node,2015-10-30T07:07:26Z,113853268,yukkysaito,tier4,152446193,answered,"@manato 全体の確認をお願いします. (私では意味的なレベルで把握できないため)
",syohex,missing,1599418,68511,5,8,0,8,550
Modified scan2image & calibration_test for calibration_publisher node,2015-11-12T09:58:30Z,113853268,yukkysaito,tier4,156054236,questioned,"@syohex アドバイスありがとうございます。
アドバイスを参考にfill_nへ変更いたしました。 
よければマージをお願いいたします
",yukkysaito,tier4,1599418,68511,5,8,0,8,550
"Runtime Manger, chaged icon, RTM to RUN",2015-10-28T02:12:47Z,113728578,kondoh2,missing,,,,,missing,,,0,1,0,1,1674
Update driving_planner and computing.yaml,2015-10-24T20:21:09Z,113180869,travelbureau,upenn,150847594,questioned,"So there is an issue here... we would need the dbw_mkz_msgs, however, on that particular vehicle they live outside of autoware, so adding them again in the autoware repo may be redundant? I have them to include, but I'm not sure how to proceed?
",travelbureau,upenn,1929416,367,5,11,0,13,952
Update driving_planner and computing.yaml,2015-10-25T00:31:09Z,113180869,travelbureau,upenn,150876208,answered,"Why did you change file permissions from `0644` to `0755` ? It is not necessary.
",syohex,missing,1929416,367,5,11,0,13,952
Update driving_planner and computing.yaml,2015-11-10T09:49:36Z,113180869,travelbureau,upenn,155372829,answered,"@travelbureau 
I'm sorry for late reply.
I overhauled lattice_trajectory_gen and it worked on moriyama in my environment.
Would you confim whether it works or not in simulation?

Yet I could not have decided what I should do about dbw_mkz_msgs.
So , I commented out some code related to mkz temporarily.
Please wait a little more.
",h-ohta,tier4,1929416,367,5,11,0,13,952
Update driving_planner and computing.yaml,2015-11-10T09:58:15Z,113180869,travelbureau,upenn,155374346,answered,"@syohex 

> Why did you change file permissions from 0644 to 0755 ? It is not necessary.

I fixed file permissions.
",h-ohta,tier4,1929416,367,5,11,0,13,952
Update driving_planner and computing.yaml,2015-11-12T12:27:46Z,113180869,travelbureau,upenn,156091537,questioned,"I will have a quick look at the changes, sorry I only just saw this...
",travelbureau,upenn,1929416,367,5,11,0,13,952
Fix pos_db's bugs about the time.,2015-10-24T13:34:30Z,113160429,kuriking,missing,,,,,missing,,,0,1,0,4,54
Remove sound player execution from traffic_light_recognition.launch,2015-10-22T12:33:30Z,112793038,manato,tier4,,,,,missing,,,0,1,0,1,1
Maybe fix the stopping problem of pos_db.,2015-10-22T12:08:36Z,112789545,kuriking,missing,,,,,missing,,,0,1,0,4,193
Fix tablet receiver,2015-10-21T14:31:29Z,112570629,h-ohta,tier4,149914852,answered,"@h-ohta
実験と動作確認、ありがとうございました。
修正、問題ありませんのでマージいたします。
",syouji,missing,9373,9369,1,2,0,1,2
Goodbye hydro hello jade,2015-10-21T10:20:02Z,112532049,syohex,missing,149847734,questioned,"現状 hydroを使っているケース, もしくは Ubuntu 13.04, Ubuntu 13.10を使っているケースというのはあるのでしょうか ? それがなければマージしようと考えています. 問題等ありましたら, お知らせください.
",syohex,missing,68671,8016,4,5,0,34,349
Goodbye hydro hello jade,2015-10-21T10:57:01Z,112532049,syohex,missing,149854466,answered,"13系とhydroはサポート中止しましょう。READMEに13系とhydro使いたければ今日以前のコミットをチェックアウトするよう注意書を追加できますか。
2015/10/21 19:20 ""Syohei YOSHIDA"" notifications@github.com:

> 現状 hydroを使っているケース, もしくは Ubuntu 13.04, Ubuntu 13.10を使っているケースというのはあるのでしょうか ?
> それがなければマージしようと考えています. 問題等ありましたら, お知らせください.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/CPFL/Autoware/pull/94#issuecomment-149847734.
",shinpei0208,tier4,68671,8016,4,5,0,34,349
Goodbye hydro hello jade,2015-10-22T02:28:26Z,112532049,syohex,missing,150086917,questioned,"注意書きを追加しました.
",syohex,missing,68671,8016,4,5,0,34,349
Goodbye hydro hello jade,2015-10-22T03:12:18Z,112532049,syohex,missing,150094611,questioned,"I have merged. Please report if you have any bulld issue.
",syohex,missing,68671,8016,4,5,0,34,349
Integrated velodyne-point-cloud as submodule,2015-10-21T04:19:17Z,112509434,syohex,missing,,,,,missing,,,0,9,0,5,53
Invert sign of azimuth,2015-10-19T07:30:15Z,112087367,syouji,missing,,,,,missing,,,0,1,0,2,2
Update readme,2015-10-21T01:43:44Z,112078756,syohex,missing,149754414,answered,"@syohex 
velodyne pointcloudの依存関係に関してはソースからビルドする形に変えておりますので、aptからインストールする必要はなくなっております。
ビルド方法等詳細はInstall Velodyne Driver Dependenciesに記載しております。
",h-ohta,tier4,202,156897,30,2,0,1,6
Update readme,2015-10-21T01:55:02Z,112078756,syohex,missing,149756042,questioned,"なぜそうする必要があるのでしょうか ? パッケージ版では動かないというような問題があるのでしょうか ? (jadeでは velodyne-pointcloudパッケージは提供されていないので, ソースから構築する必要がありましたが). パッケージ版を使うべきでない理由があるのであれば, そのことを明記すべきだと思います.

またソースコードからビルドする際, リビジョンの指定が特にないのですが, 最新版で常にビルドできることが保証されているのでしょうか, また動作保証ができているのでしょうか ?

特定のバージョンを利用する必要がある, パッケージ版では問題がある等であれば, ソースコードを手動でチェックアウトするのではなく, git submodule, subtree等を使った方がよいと思います.

よろしくお願いします.
",syohex,missing,202,156897,30,2,0,1,6
Update readme,2015-10-21T02:09:23Z,112078756,syohex,missing,149758161,answered,"aptで提供されているパッケージ版ではyaml-cpp 0.5のサポートが不十分で、実際にキャリブレーションファイルの読み込みができませんでした。当時の最新ソースコードではその問題が修正されていたので、ソースからビルドする形に切り替えたという経緯があります。

git subtreeというものがあるのですね。初めて知りました。
これはあるコミットタイミングでのvelodyneリポジトリをAutowareに取り込むという理解でよろしいでしょうか。
不勉強で申し訳ありません。

よろしくお願いします。
",h-ohta,tier4,202,156897,30,2,0,1,6
Update readme,2015-10-21T02:26:45Z,112078756,syohex,missing,149761468,questioned,"> aptで提供されているパッケージ版ではyaml-cpp 0.5のサポートが不十分で、実際にキャリブレーションファイルの読み込みができませんでした。当時の最新ソースコードではその問題が修正されていたので、ソースからビルドする形に切り替えたという経緯があります。

これは indigoでの話でしょうか ? indigoのパッケージだとバージョン 1.2.0が使われており, そのバージョンには yaml-cpp 0.5に対するサポートが含まれているように見えます(以下のコミットが含まれる.)

https://github.com/ros-drivers/velodyne/commit/0b7a20918f65962f1bf0b4183722589aef239584

パッケージ版が利用できる方が, ユーザ的にもメンテな的にも便利なので, それで動くかどうかよろしければ
確認いただけないでしょうか ?

> git subtreeというものがあるのですね。初めて知りました。
> これはあるコミットタイミングでのvelodyneリポジトリをAutowareに取り込むという理解でよろしいでしょうか。
> 不勉強で申し訳ありません。

はい, そのような認識でよいです.
",syohex,missing,202,156897,30,2,0,1,6
Update readme,2015-10-21T02:35:07Z,112078756,syohex,missing,149765018,answered,"> これは indigoでの話でしょうか ? indigoのパッケージだとバージョン 1.2.0が使われており, そのバージョンには yaml-cpp 0.5に対するサポートが含まれているように見えます(以下のコミットが含まれる.)
> 
> ros-drivers/velodyne@0b7a209

確かサポートはされているが内部的なバグがあった覚えがあります。
この後のコミットの
ros-drivers/velodyne@fc20169
ros-drivers/velodyne@fdba8a3
によりそのバグが修正されたようです。
これは1.2.0以後のものなのでおそらく1.2.0ではまだ修正されていないはずですが、一度確認してみます。
",h-ohta,tier4,202,156897,30,2,0,1,6
Update readme,2015-10-21T02:45:52Z,112078756,syohex,missing,149766085,questioned,"http://repos.ros.org/repos/building/pool/main/r/ros-indigo-velodyne-pointcloud/

パッケージのソースコードを見ると, その変更はまだ取り込まれていないようです.
READMEを修正します.
",syohex,missing,202,156897,30,2,0,1,6
Update readme,2015-10-21T02:47:39Z,112078756,syohex,missing,149766556,answered,"お手数おかけして申し訳ありません。
それではgit subtreeにて取り込む形に成るということでしょうか。
",h-ohta,tier4,202,156897,30,2,0,1,6
Update readme,2015-10-21T02:51:21Z,112078756,syohex,missing,149767128,questioned,"とりあえずその方向で試してみます
",syohex,missing,202,156897,30,2,0,1,6
Update readme,2015-10-21T03:41:16Z,112078756,syohex,missing,149772077,questioned,"すでに `velodyne`というパッケージ(`sensing/drivers/lidar/packages/velodyne/`)があるので単純に `ros/src`の下に置くということはできませんでした(こうすると catkin_init_workspaceやら source devel/setup.bashをせずに済むのですが...). 依存関係用のディレクトリを作成し, その下に submoduleを置くことにします.
",syohex,missing,202,156897,30,2,0,1,6
Update readme,2015-10-21T05:02:00Z,112078756,syohex,missing,149783508,questioned,"マージしました.

velodyne-pointcloudパッケージを submoduleとして追加しました.
`./catkin_make_release`コマンドを使ってビルドを行う場合は何の問題もないはずです. cakin_makeコマンドを行う場合は, 事前に `git submodule init && git submodule update`が必要になります.

問題があればお知らせください.
よろしくお願いします.
",syohex,missing,202,156897,30,2,0,1,6
Update readme,2015-10-21T05:17:45Z,112078756,syohex,missing,149785227,answered,"迅速な対応有難うございました。
こちらでも確認します。

ちなみに、`catkin_make`時に毎回`git submodule init && git submodule update`しなければならないのでしょうか。それとも一度`./catkin_make_release`した後に`catkin_make`をする場合は、上記は必要ないのでしょうか。
",h-ohta,tier4,202,156897,30,2,0,1,6
Update readme,2015-10-21T05:26:42Z,112078756,syohex,missing,149786784,questioned,"> ちなみに、catkin_make時に毎回git submodule init && git submodule updateしなければならないのでしょうか。それとも一度./catkin_make_releaseした後にcatkin_makeをする場合は、上記は必要ないのでしょうか。

一度だけでいいです. `ros/depends/src/velodyne`以下にソースコードが取得されていれば実行する必要はありません.
",syohex,missing,202,156897,30,2,0,1,6
