title,Created_at,thread_id,subtitle_id,Type,Comment_text,creator
add install to the resources and plugin.xml,2019-05-30T01:38:45Z,15,1,answered,"Cross build failed in the CI due to the missing ymc binary, but the normal build worked so I will merge this.",gbiggs
Fix Melodic Builds (All of Them),2019-05-28T18:13:52Z,16,1,questioned,"@amc-nu / @sgermanserrano - Could you possibly run Gitlab CI on this branch or merge if you think it looks good and let it build on #2032? All CI builds now complete correctly on my local machine with `gitlab-runner` so I would hope that they would on Gitlab as well.

**Edit**: Nevermind on kicking off CI on Gitlab. I see that it's automatic now.",JWhitleyWork
Remove lgsvl_msgs submodule (Fixes #2157),2019-05-27T01:32:26Z,17,,,,
Remove ds4 submodule,2019-05-27T01:29:48Z,18,,,,
Remove ds4 submodule,2019-05-27T01:26:21Z,19,,,,
Remove citysim submodule (Fixes #2156),2019-05-27T01:25:57Z,20,,,,
Remove car_demo submodule (Fixes #2160),2019-05-27T01:25:36Z,21,,,,
Remove robosense submodule (Fixes #2159),2019-05-27T01:25:00Z,22,,,,
Remove ouster submodule (Fixes #2158),2019-05-27T01:24:11Z,23,,,,
fix typo in lidar_fake_perception.launch,2019-05-24T09:06:27Z,24,1,answered,See also #2276 ,gbiggs
fix typo in lidar_fake_perception.launch,2019-05-24T09:08:06Z,24,2,questioned,Didn't notice there was a duplicate. Thank you @gbiggs!,mitsudome-r
Fix launch param name publish_objects in lidar_fake_perception.launch,2019-05-24T09:06:57Z,26,1,answered,"Closed in favour of #2277, which has a better PR description.",gbiggs
Fix Melodic Cross-Build,2019-05-23T20:57:07Z,27,1,questioned,"@gbiggs / @sgermanserrano - In order for `build_melodic_cross` to build correctly, someone will need to generate the Docker image using this branch and upload it to Docker Hub.",JWhitleyWork
Fix Melodic Cross-Build,2019-05-24T07:44:13Z,27,2,answered,"@JWhitleyAStuff @gbiggs I'm on it, I'll kick off the gitlab pipeline a soon as I get the image",sgermanserrano
Fix Melodic CI,2019-05-23T08:11:42Z,29,,,,
Feature/melodic rebase again,2019-05-22T23:44:41Z,30,1,questioned,@amc-nu - Please review. I'm still working on getting the cross-builds working (lots of hang-ups) but should be done within the next few days.,JWhitleyWork
Feature/melodic rebase again,2019-05-22T23:46:09Z,30,2,answered,"@JWhitleyAStuff thanks

@sgermanserrano found the root of the problem. We’ll have a fix soon for those.",amc-nu
Feature/melodic rebase again,2019-05-22T23:50:12Z,30,3,questioned,"@amc-nu Do you know which problem he found a fix to? I've found fixes for problems with Qt, ocoros, and others.

Edit: this PR also fixes the problem with OGRE.",JWhitleyWork
Feature/melodic rebase again,2019-05-22T23:53:38Z,30,4,answered,Seems it’s just the Gitlab CI script that needs to be updated. (Industrial_CI is passing without any problem on both kinetic and melodic),amc-nu
Feature/melodic rebase again,2019-05-22T23:58:42Z,30,5,questioned,"I was building the Docker container from source when I found the problems on the cross-build
Guess we'll see what happens when this PR gets merged! ",JWhitleyWork
Fix segmentation fault at velocity_set or unintended planning by asynchronous base_waypoints and closest_waypoint,2019-05-21T09:00:40Z,35,,,,
CUDA CMake detection logic update,2019-05-22T11:55:34Z,36,1,answered,A downside that I've seen to including this in the cmake extras file as just an option is that it produces warnings on packages which do not use CUDA. Maybe we should make this a macro instead so it is only checked when invoked specifically with something like check_cuda()?,JWhitleyWork
CUDA CMake detection logic update,2019-05-24T02:51:53Z,36,2,questioned,@JWhitleyAStuff can you have a look?,amc-nu
Update Docker cross-build Image,2019-05-20T19:09:32Z,38,1,questioned,@sgermanserrano - The PR we discussed on Slack. This will fix some problems with the `melodic` builds too.,JWhitleyWork
Update Docker cross-build Image,2019-05-21T08:36:05Z,38,2,answered,"@JWhitleyAStuff thanks for the PR, I guess you haven't seen it but there is a [dependencies](https://github.com/autowarefoundation/autoware/blob/master/docker/generic/dependencies) file with the ROS dependencies for Autoware which is being used for the `generic` docker images and the CI. It might be good to use it also in the cross-build Docker file to keep just 1 copy of the dependencies",sgermanserrano
Update Docker cross-build Image,2019-05-21T18:05:28Z,38,3,questioned,@sgermanserrano - Thanks for pointing that out! I'll get something pushed here that integrates that file.,JWhitleyWork
Update Docker cross-build Image,2019-05-21T23:06:37Z,38,4,questioned,"@sgermanserrano - I moved the `dependencies` file up a level, to `autoware/docker`. This was necessary because that file has to be within the build context (where `docker build` is called) for all images. To make this the case, I had to modify the build scripts to `cd ..` up a level before calling `docker build` which was less disruptive than moving the scripts. I've run the cross-build for all three types, built Autoware in the `generic-aarch64` one, and done the same for the `generic` build with all options enabled. Everything seems to work correctly. You may want to verify locally as well.",JWhitleyWork
Update Docker cross-build Image,2019-05-22T10:13:47Z,38,5,answered,"@JWhitleyAStuff can you have a look at [https://github.com/astuff/autoware/pull/14](https://github.com/astuff/autoware/pull/14), I have updated the date for the cross image and the path for the FindCUDA file",sgermanserrano
Update Docker cross-build Image,2019-05-22T11:44:10Z,38,6,questioned,@sgermanserrano Merged!,JWhitleyWork
Updating citysim ref to pull in CMake fix.,2019-05-17T14:49:57Z,44,1,questioned,@amc-nu / @gbiggs - This should fix the Melodic Gitlab build.,JWhitleyWork
Fix gazebo not found in colcon_release_cross,2019-05-17T04:35:13Z,45,,,,
Adding work-around for CMake issue in #2082,2019-05-16T22:30:56Z,46,1,answered,Can we align this with #2265?,gbiggs
Adding work-around for CMake issue in #2082,2019-05-16T23:04:09Z,46,2,answered,"Integrating in #2265 
Thanks @JWhitleyAStuff ",amc-nu
Fix param type of deceleration_range,2019-05-16T10:28:08Z,48,,,,
Melodic CPU/GPU compilation flag,2019-05-16T21:59:37Z,49,1,answered,@amc-nu - Please see autowarefoundation/autoware#2267 which fixes the CMake portion of this bug. The Eigen issue still exists but the version that is required is 3.3.6 instead of 3.3.7 (see https://github.com/autowarefoundation/autoware/pull/2032#issuecomment-490682096 and https://github.com/autowarefoundation/autoware/pull/2032#issuecomment-490720104 for details).,JWhitleyWork
Melodic CPU/GPU compilation flag,2019-05-16T23:46:39Z,49,2,questioned,"> 
> 
> @amc-nu - Please see autowarefoundation/autoware#2267 which fixes the CMake portion of this bug. The Eigen issue still exists but the version that is required is 3.3.6 instead of 3.3.7 (see [#2032 (comment)](https://github.com/autowarefoundation/autoware/pull/2032#issuecomment-490682096) and [#2032 (comment)](https://github.com/autowarefoundation/autoware/pull/2032#issuecomment-490720104) for details).

@gbiggs @JWhitleyAStuff We'll need to set the Eigen version to 3.3.7.
3.3.6 had a regression, causing compilation issues on other packages.
http://eigen.tuxfamily.org/bz/show_bug.cgi?id=1651",amc-nu
Add tests around Openplanner utilities,2019-05-15T17:35:18Z,51,,,,
ndt_slam,2019-05-20T03:13:49Z,52,1,answered,Please fix the conflicts in `ros/src/util/packages/runtime_manager/scripts/computing.yaml`.,gbiggs
ndt_slam,2019-05-20T04:01:48Z,52,2,answered,"I cannot follow your test instructions.
- There is nothing about computing on the sensing tab in the runtime manager.
- There is nothing about ndt_slam on the computing tab.
- There is nothing about the points queue size in the options for any of the ndt-related nodes in the computing tab.",gbiggs
ndt_slam,2019-05-20T04:10:12Z,52,3,answered,@YamatoAndo ,amc-nu
ndt_slam,2019-05-20T05:42:32Z,52,4,answered,"> I cannot follow your test instructions.
> 
> * There is nothing about computing on the sensing tab in the runtime manager.
> * There is nothing about ndt_slam on the computing tab.
> * There is nothing about the points queue size in the options for any of the ndt-related nodes in the computing tab.

I found them",yukkysaito
ndt_slam,2019-05-21T00:06:10Z,52,5,questioned,"> Please fix the conflicts in `ros/src/util/packages/runtime_manager/scripts/computing.yaml`.

done!",YamatoAndo
ndt_slam,2019-05-24T05:36:19Z,52,6,questioned,"@yukkysaito @sgermanserrano @amc-nu
Thank you for your review.
I talked with @gbiggs, and we decided to modify the libray to be ROS friendly (use ROS_ERROR, geometry_msgs).
And add doxygen to the library.
I would like to write it for the next Autoware release.
",YamatoAndo
ndt_slam,2019-05-27T19:16:37Z,52,7,answered,"Hi, I have a question? Are you now locating the final output in the video as the result of efk or the result of ndt matching?",hunkyu
ndt_slam,2019-05-28T01:24:20Z,52,8,questioned,"@hunkyu Hi.
It is the result of ndt matching.",YamatoAndo
ndt_slam,2019-05-28T14:24:51Z,52,9,answered,"@YamatoAndo Hi, I've been testing the ndt_slam but I can't get a valid map. 
There are some guide to correctly configure parameters?

 Now I have VLP16 without any tilt and with default values I get something like this (it is like the vehicle was stopped)
![Screenshot from 2019-05-28 15-51-15](https://user-images.githubusercontent.com/13346469/58485260-f98ca400-8163-11e9-8896-7408659bc160.png)

With some modifications I can get something like this, but it isn't well, I lose localization at the first turn
![Screenshot from 2019-05-28 15-43-38](https://user-images.githubusercontent.com/13346469/58484925-576cbc00-8163-11e9-85fc-4af9de328ff9.png)
![Screenshot from 2019-05-28 15-43-18](https://user-images.githubusercontent.com/13346469/58484932-5b004300-8163-11e9-8eeb-97609a9ea375.png)
![Screenshot from 2019-05-28 15-42-58](https://user-images.githubusercontent.com/13346469/58484960-681d3200-8163-11e9-8873-b74b62744a16.png)
![Screenshot from 2019-05-28 15-42-23](https://user-images.githubusercontent.com/13346469/58484974-6f444000-8163-11e9-8414-2a63a6861337.png)

What Lidar is used in this video? https://youtu.be/EEatuQnrxcg, I with voxel_grid = 2 have really few points and I lose localization before the first turn.

PD: dataset -> https://www.dropbox.com/s/8sfgjyj5i8zgckj/autoware-20190524071142.bag.tar.gz?dl=0
",javcursor
ndt_slam,2019-05-30T03:53:16Z,52,10,questioned,"@javcursor Hi,

> There are some guide to correctly configure parameters?

The parameter description is written in readme (ros / src / computing / perception / localization / packages / lidar_localizer / nodes / ndt_slam / README.md).
But I do not write how to configure them.

> What Lidar is used in this video?

Velodyne HDL-32e.

Thank you for sending rosbag.
I tried several times, but the mapping  is quite difficult because there is a timing that only one pole is visible.

As a solution
・ (Recommended) Use VLP-32c etc.
VLP-32c can be seen up to 200m. So it can see the building even from the end of the circuit.
・Fusion Odometry, IMU, GNSS with EKF. We are developing this feature.

Also, this is a hack method, but you can temporarily stop the mapping and skip the locations where localization is lost, as shown below.
1. Mapping until just before localization is lost
1. pause the rosbag
1. kill ndt_slam and save the map
1. publish the map saved from Map tab of RuntimeManager
1. launch ndt_slam with `With Mapping` turned off
1. play rosbag until you can see buildings around.
1. Align self-position with 2D Pose Estimate.
1. After confirming that the self position is stable, set `With Mapping` to ON.

For your refarence, the best parameter I configured.(Note: Position estimation is lost on the way)
![Screenshot from 2019-05-30 12-10-49](https://user-images.githubusercontent.com/13819566/58606494-97a07b80-82d6-11e9-93bf-7fd7273d9d9d.png)

![Screenshot from 2019-05-30 12-12-54](https://user-images.githubusercontent.com/13819566/58606510-a8e98800-82d6-11e9-8e69-060b60839cfa.png)

![Screenshot from 2019-05-30 12-11-02](https://user-images.githubusercontent.com/13819566/58606504-9f602000-82d6-11e9-8eae-bd5c97daeaf1.png)

![Screenshot from 2019-05-30 12-14-55](https://user-images.githubusercontent.com/13819566/58606520-ae46d280-82d6-11e9-9835-9fea0a394dd0.png)
`Input Topics: [/points_no_ground,/filtered_points]`

![Screenshot from 2019-05-30 12-11-42](https://user-images.githubusercontent.com/13819566/58606521-b43cb380-82d6-11e9-8725-954af2f164fa.png)

",YamatoAndo
ndt_slam,2019-05-30T04:38:20Z,52,11,answered,"@YamatoAndo 
Thank you for your reply! Now efk localizer will use the matching score evaluation indicator for fusion?",hunkyu
ndt_slam,2019-05-30T08:20:32Z,52,12,questioned,"@hunkyu 
ekf_localizer receives the geometry_msgs::PoseWithCovarianceStamped message and evaluates it using its covariance.
Now ndt_slam uses inverse of Hessian matrix for covariance.
However, I also think that the proposal is to change covariance by matching_score.

Fusion with ekf_localizer is still an experimental feature and may not work well yet.
We are still considering how to make covariance.",YamatoAndo
ndt_slam,2019-06-10T03:44:21Z,52,13,answered,"@YamatoAndo  You are right, but do you have a good way to solve the covariance matrix based on the current match score (0-1)? I think the Hessian matrix still needs to be used.",hunkyu
ndt_slam,2019-05-15T11:13:36Z,65,1,questioned,"Since I have not sign-off, I will remake PR",YamatoAndo
Modify mssion state for fms,2019-05-29T12:29:00Z,66,1,answered,I have confirmed that new feature works fine according to the test procedure. ,mitsudome-r
Add battery charging state,2019-05-29T12:28:52Z,67,1,answered,I have confirmed that new feature works fine according to the test procedure. ,mitsudome-r
Modify stop states,2019-05-16T22:37:46Z,68,1,answered,"Please provide detailed instructions on how to test, including what the reviewer should see in a successful test. A link to how to turn the feature on is not enough.",gbiggs
Modify stop states,2019-05-17T08:08:35Z,68,2,questioned,Updated the steps to test.,s-azumi
Modify stop states,2019-05-29T10:54:55Z,68,3,answered,"I have confirmed that stopping functions works properly according to the testing procedure.
Please check the comments in the review. ",mitsudome-r
Modify stop states,2019-05-31T07:53:05Z,68,4,answered,@s-azumi Please fix the conflicts so this can be merged.,gbiggs
Predicting convex hull in naive_motion_predict,2019-05-20T04:05:59Z,72,1,answered,"@k0suke-murakami Can you please add the documentation for this class, in doxygen format. In a different PR?",amc-nu
Fix autoware launcher readme.,2019-05-18T04:00:59Z,73,1,answered,can you please explain which part of autowarefoundation/autoware_ai#623 fixes?,amc-nu
Fix autoware launcher readme.,2019-05-20T03:47:44Z,73,2,answered,@isamu-takagi ?,amc-nu
Fix autoware launcher readme.,2019-05-20T04:17:58Z,73,3,questioned,"@amc-nu 
The following part of autowarefoundation/autoware_ai#623, I cant edit checkbox of autowarefoundation/autoware_ai#623 .
>Typo in line 22 of README. Switch for Swtich.
>Separate Demo steps into a different file.",isamu-takagi
Fix autoware launcher readme.,2019-05-20T10:18:37Z,73,4,answered,@isamu-takagi you're missing a sign-off. Please amend your commit,amc-nu
Fix autoware launcher readme.,2019-05-20T10:30:11Z,73,5,questioned,"@amc-nu 
Thank you for the review. I applied your suggestions.",isamu-takagi
Fix autoware launcher readme.,2019-05-31T10:21:14Z,73,6,answered,@isamu-takagi thanks. Waiting for CI to pass.,amc-nu
Fix autoware launcher readme.,2019-05-31T10:33:38Z,73,7,questioned,Thank you for the suggestions! I pushed the branch again because there was no sign-off.,isamu-takagi
MPC waypoints follower,2019-05-14T06:45:41Z,80,1,questioned,force push is for sign-off.,TakaHoribe
MPC waypoints follower,2019-05-14T07:25:49Z,80,2,answered,Your video is not accessible.,gbiggs
MPC waypoints follower,2019-05-14T07:29:23Z,80,3,answered,"In your screenshot, the white trajectory for the vehicle appears to be physically impossible The vehicle is not aligned with the start of the trajectory.",gbiggs
MPC waypoints follower,2019-05-14T13:22:53Z,80,4,questioned,"@gbiggs 

> Your video is not accessible.

Can you download the file and play in Chrome?

> In your screenshot, the white trajectory for the vehicle appears to be physically impossible The vehicle is not aligned with the start of the trajectory.

I checked this, and it was because I changed the vehicle position when gazebo simulation was stopped. I'll change figure and also post here for more info.

![mpc_pr_case2](https://user-images.githubusercontent.com/21360593/57701320-bb3cb280-7696-11e9-9405-5a9953809c62.png)

![mpc_pr_case3](https://user-images.githubusercontent.com/21360593/57701335-c099fd00-7696-11e9-8bd1-d5d2adddaa0a.png)


Also keep old figure for in case.
![image](https://user-images.githubusercontent.com/21360593/57701742-8bda7580-7697-11e9-890f-45d11a9ec95b.png)

",TakaHoribe
MPC waypoints follower,2019-05-15T00:00:53Z,80,5,answered,"> Can you download the file and play in Chrome?

It's not a browser problem. You have provided a link to a video on Google Drive that is not accessible to anyone not logged in to Google Drive. You need to make the video viewable by anyone.",gbiggs
MPC waypoints follower,2019-05-15T00:15:32Z,80,6,questioned,Understood. I changed the access level.,TakaHoribe
MPC waypoints follower,2019-05-17T03:53:03Z,80,7,questioned,"Committed changes where @amc-nu mentioned for review.
 - add doxygen style document
 - launch document style
 - fix typo",TakaHoribe
MPC waypoints follower,2019-05-20T02:55:51Z,80,8,answered,"@TakaHoribe Thanks for attending my comments. Can you please explain:
1. How is this better than `pure_pursuit`?
1. On which scenarios will MPC outperform pure_pursuit, and which will not?
1. Can you please explain how to test with a rosbag instead of gazebo?

Thanks!",amc-nu
MPC waypoints follower,2019-05-20T05:04:52Z,80,9,questioned,"@amc-nu Answers to your question are

1.  The `mpc_follower` can use more information to follow waypoints, which enables to follow waypoints accurately. The features of the two followers are
 - `pure_pursuit` plans to move towards the **one lookahead waypoint**, assuming that **the route has constant curvature** and **angular velocity can be realized ideally**.  
 -  `mpc_follower` plans considering with **all points on the path** and **vehicle dynamics (such as steering delay)** to follow the waypoints.
2. MPC performs better when you want to drive at **complex route with low tracking error** (where the assumption of ""route has constant curvature"" is not apprpriate). While, the drawbacks of MPC are
 -  the difficulty of parameter tuning (it requires knowledge of control theory and vehicle dynamics). 
 - computational cost
Thus, I think the default waypoint follower is fine with `pure_pursuit` for Autoware. 
3. ok, I'll add how to test with rosbag later. (I didn't write it because rosbag test can not check how the vehicle moves with the control command generated by MPC. The rosbag test can only check if the command is published properly)

",TakaHoribe
MPC waypoints follower,2019-05-20T06:37:27Z,80,10,questioned,@amc-nu I write how to test with rosbag at the top document of this PR. please check it.,TakaHoribe
MPC waypoints follower,2019-05-20T13:59:22Z,80,11,questioned,"@sgermanserrano Thank you for your review. 

About `amathusils`, there was a discussion in autowarefoundation/autoware#2045, and I'm not sure if it will be modified or removed. So I didn't make the code depend on the library. Actually, it is not widely used in Autiware (included by only `decision_maker`). But @amc-nu also suggested to use it. So if you still agree to use it, I'll change.

I agree to use `amathutil` if it will be maintained properly.

For the other parts, I'll change following your review.

",TakaHoribe
MPC waypoints follower,2019-05-20T15:01:40Z,80,12,answered,"> @sgermanserrano Thank you for your review.
> 
> About `amathusils`, there was a discussion in autowarefoundation/autoware#2045, and I'm not sure if it will be modified or removed. So I didn't make the code depend on the library. Actually, it is not widely used in Autiware (included by only `decision_maker`). But @amc-nu also suggested to use it. So if you still agree to use it, I'll change.
> 
> I agree to use `amathutil` if it will be maintained properly.
> 
> For the other parts, I'll change following your review.

@TakaHoribe actually I think that is one big problem at the moment, there are loads of re-implementation of basic mathematical functions everywhere within the code base, which actually increases maintainability needs instead of having all central within a core library. I'd suggest adding `amathutils` as a dependency so we can keep track of all these common functions",sgermanserrano
MPC waypoints follower,2019-05-20T15:57:48Z,80,13,questioned,"> @TakaHoribe actually I think that is one big problem at the moment, there are loads of re-implementation of basic mathematical functions everywhere within the code base, which actually increases maintainability needs instead of having all central within a core library. I'd suggest adding amathutils as a dependency so we can keep track of all these common functions

@sgermanserrano OK, I understand. I'll take your advaice and change codes. (I'll do it tomorrow, please give me one day)",TakaHoribe
MPC waypoints follower,2019-05-21T04:42:41Z,80,14,questioned,@sgermanserrano I modified code following your review. please check it. ,TakaHoribe
MPC waypoints follower,2019-05-23T12:01:10Z,80,15,answered,"@TakaHoribe I'm following the rosbag test steps and the `mpc_follower` dies with a 
```
Call to publish() on an invalid Publisher
```
Is there anything missing on the instructions?",sgermanserrano
MPC waypoints follower,2019-05-23T13:05:35Z,80,16,questioned,"@sgermanserrano Thank you for your review. I'll check them and modify code. 

> ```
> Call to publish() on an invalid Publisher
> ```

Sorry, it is a bug that came in with recent changes. I fixed it, so could you check it again?",TakaHoribe
MPC waypoints follower,2019-05-24T08:25:20Z,80,17,questioned,"@sgermanserrano Thank you for your review and advices. I modified following your review and add test code for mpc_follower.  Please check it. (I split some files for the test. )

I also check the rosbag/wf_simulator/gazebo tests written in PR works with this commit.
![image](https://user-images.githubusercontent.com/21360593/58313414-7a882a80-7e48-11e9-8f2d-c23210425b3b.png)
",TakaHoribe
MPC waypoints follower,2019-05-24T08:30:55Z,80,18,questioned,"Existing comments to be solved from reviewer  
 - ~~add reference paper for butterworth filter~~ Done in b756e26
 - ~~add test for butterworth filter (check with matlab values)~~ Done in b756e26
 - ~~remove unsed variables in MPCTrajectory::size()~~ Done in b756e26",TakaHoribe
MPC waypoints follower,2019-05-24T15:27:38Z,80,19,questioned,"@gbiggs Is it possible to support installation of qpOASES in v1.12? If it's possible, I want to use it with MPC. In that case, I need to modify the readme and CMakelists a little. I'm not sure how long does it take to check if it can be properly installed. Should we postponed the qpOASES support to the next release? 
Even if we don't use the qp solver, this mpc_follower can be used in conditions without constraint such as steering limit. ",TakaHoribe
MPC waypoints follower,2019-05-27T03:02:58Z,80,20,answered,"Yes, 1.12 will have qpOASES supported via a vendor package. It's not done yet but it will be done, hopefully this week.

When you use it, please note that it is used in your README, and also add information about who created it and what license it uses (LGPL 2.1).",gbiggs
MPC waypoints follower,2019-05-30T08:51:16Z,80,21,questioned,"I added the copyright related to qpOASES. I will modify CMakelist in another PR after qpOASES support is ready. @gbiggs please check it, thanks.",TakaHoribe
MPC waypoints follower,2019-05-30T09:51:36Z,80,22,answered,@TakaHoribe the qp solver based on qpOASES is not currently compiled. What are the benefits of using the qpOASES library for the solver?,sgermanserrano
MPC waypoints follower,2019-05-30T11:37:02Z,80,23,questioned,"@sgermanserrano The qpOASES is for  **constrainted** optimization probem, so the MPC can calculate a control command with considering stering limit or lateral acceleration limit. While the currently used solver (based on Eigen) is just for **unconstraint** optimization problem (just least square optimization). 

Advantages of constrainted optimization is, for example, there is an improvement for the tracking accuracy on a path that can not be followed without turning the steering angle to the maximum. Solvers that know the maximum steering angle may give up the tracking accuracy of a part of the path for global optimum. On the other hand, if the solver doesn't know the maximum steering angle, it calculates the control command for perfect tracking which is actually infeasible due to the steering limit, and lose global optimality as a result.",TakaHoribe
MPC waypoints follower,2019-05-31T07:57:26Z,80,24,answered,"@TakaHoribe We would like to avoid including unused code in a PR, because it cannot be tested properly and it may go stale. Can you please do the following:

1. Remove the qpOASES-related code
2. Make a separate PR that adds the qpOASES code and the necessary checks to enable it in CMake

We will make a vendor package for qpOASES in tandem with 2, and merge the two PRs simultaneously.",gbiggs
MPC waypoints follower,2019-05-31T09:19:07Z,80,25,questioned,"@gbiggs OK, I removed the qpOASES related code in `c9ba83b`. please check it.",TakaHoribe
MPC waypoints follower,2019-05-31T09:43:15Z,80,26,answered,"@TakaHoribe can you please check the source of the error. Seems you're missing a header.
```
--- stderr: waypoint_follower
/builds/autowarefoundation/autoware.ai/autoware/ros/src/computing/planning/motion/packages/waypoint_follower/nodes/mpc_follower/lowpass_filter.cpp: In static member function ‘static bool MoveAverageFilter::filt_vector(int, std::vector<double>&)’:
/builds/autowarefoundation/autoware.ai/autoware/ros/src/computing/planning/motion/packages/waypoint_follower/nodes/mpc_follower/lowpass_filter.cpp:111:5: error: ‘printf’ was not declared in this scope
     printf(""[MovingAverageFilter] vector size is lower than moving average number\n"");
     ^~~~~~
/builds/autowarefoundation/autoware.ai/autoware/ros/src/computing/planning/motion/packages/waypoint_follower/nodes/mpc_follower/lowpass_filter.cpp:111:5: note: suggested alternative: ‘rintf’
     printf(""[MovingAverageFilter] vector size is lower than moving average number\n"");
     ^~~~~~
     rintf
make[2]: *** [CMakeFiles/mpc_follower.dir/nodes/mpc_follower/lowpass_filter.cpp.o] Error 1
make[1]: *** [CMakeFiles/mpc_follower.dir/all] Error 2
make: *** [all] Error 2
---
```
https://gitlab.com/autowarefoundation/autoware.ai/autoware/-/jobs/222740086",amc-nu
MPC waypoints follower,2019-06-01T05:54:28Z,80,27,questioned,@amc-nu @sgermanserrano Sorry for that. I fixed include files. ,TakaHoribe
MPC waypoints follower,2019-06-02T00:13:09Z,80,28,answered,"@TakaHoribe one of the tests is failing. Can you please have a look.
```
1 package had test failures: waypoint_follower
$ colcon test-result --verbose
build/waypoint_follower/test_results/waypoint_follower/rosunit-test-mpc_follower.xml: 6 tests, 0 errors, 1 failure, 0 skipped
- TestSuite TestMPCFollowerInvalidPose
  <<< failure message
    /builds/autowarefoundation/autoware.ai/autoware/ros/src/computing/planning/motion/packages/waypoint_follower/test/src/test_mpc_follower.cpp:221
    Expected: (twist_raw_.twist.linear.x) > (0.1), actual: 0 vs 0.1
  >>>
```",amc-nu
MPC waypoints follower,2019-06-02T14:38:29Z,80,29,questioned,"@amc-nu Does this mean that the tests succeeded with kinetic but failed in melodic? Would you tell me how to get the same result in local environment? 
![image](https://user-images.githubusercontent.com/21360593/58762479-5389d100-858b-11e9-8c4b-3b29ab4b3594.png)
",TakaHoribe
MPC waypoints follower,2019-06-02T21:02:17Z,80,30,answered,"@TakaHoribe The failure is in the `TestMPCFollowerInvalidPose` as `twist_raw_.twist.linear.x` has a value of 1 so it returns `emergency stop, zero speed command is expected`. This behaviour seems to appear only at the melodic build, can you check that `twist_raw_.twist.linear.x` is appropriately set to 0 where it should? I fail to see where it is currently being assigned for that test",sgermanserrano
Split drive state,2019-05-29T07:40:12Z,110,1,answered,"Vehicle does not stop when the stop button is pressed. (Test step 4) 
Instruction to change parameter in pure_pursuit is missing in ""Start Driving with simulation"" document.(change from dialog -> waypoint)",mitsudome-r
Split drive state,2019-05-29T07:49:57Z,110,2,answered,"It is difficult to understand which lines belongs to which state machine in /decision_maker/state_overlay.
Could you change the visualization so it is clear that the messages are from 4 state machines?
e.g.)
Vehicle:     VehicleReady
Mission:    Driving
Behavior:  Moving, LaneArea, Cruise, Straight
Motion:     Drive, Go ",mitsudome-r
Split drive state,2019-05-30T11:15:19Z,110,3,questioned,"> Vehicle does not stop when the stop button is pressed. (Test step 4)
> Instruction to change parameter in pure_pursuit is missing in ""Start Driving with simulation"" document.(change from dialog -> waypoint)

I update the documents.",s-azumi
Split drive state,2019-05-30T11:20:35Z,110,4,questioned,"> It is difficult to understand which lines belongs to which state machine in /decision_maker/state_overlay.
> Could you change the visualization so it is clear that the messages are from 4 state machines?
> e.g.)
> Vehicle: VehicleReady
> Mission: Driving
> Behavior: Moving, LaneArea, Cruise, Straight
> Motion: Drive, Go

I modified the overlay text contents as follows.
![Screenshot from 2019-05-30 20-17-44](https://user-images.githubusercontent.com/38061530/58629772-57fa8380-8318-11e9-9725-4bc494da1121.png)",s-azumi
Split drive state,2019-05-30T22:49:05Z,110,5,answered,Please do not post screenshots of text. Copy and paste the text itself.,gbiggs
